"id","age","modularity"
1,20.43,0.11558276
1,20.43,0.094417171
1,20.43,0.112676363
1,20.43,0.14990564
1,20.43,0.137296081
1,20.43,0.100140368
1,20.43,0.106412691
2,16.7,0.158383331
2,16.7,0.145072927
2,16.7,0.113953567
2,16.7,0.152488327
2,16.7,0.068344127
2,16.7,0.099610295
2,16.7,0.149917424
2,18.65,0.105776657
2,18.65,0.156877384
2,18.65,0.149765968
2,18.65,0.162663201
2,18.65,0.111819024
2,18.65,0.194759353
2,18.65,0.154384743
2,20.65,0.147232564
2,20.65,0.084969121
2,20.65,0.185204597
2,20.65,0.161027688
2,20.65,0.137472838
3,22.68,0.121025477
3,22.68,0.131804002
3,22.68,0.190765449
3,22.68,0.102957096
3,22.68,0.101806804
3,22.68,0.122754346
3,22.68,0.09462258
3,24.68,0.128692124
3,24.68,0.134313073
3,24.68,0.16653554
3,24.68,0.099016696
3,24.68,0.232281923
3,24.68,0.201833032
3,24.68,0.171159691
3,26.77,0.120518185
3,26.77,0.086952173
3,26.77,0.133791293
3,26.77,0.086121505
3,26.77,0.107832836
4,11.63,0.050397941
4,11.63,0.098993558
4,11.63,0.143058769
4,11.63,0.100829147
4,11.63,0.087609243
4,11.63,0.096552576
4,11.63,0.136926233
4,13.86,0.124954685
4,13.86,0.180410143
4,13.86,0.196263774
4,13.86,0.11671555
4,13.86,0.150199526
4,13.86,0.165478579
4,13.86,0.147416125
4,15.87,0.138584452
4,15.87,0.146742391
4,15.87,0.147109229
4,15.87,0.16987585
4,15.87,0.169309984
5,16.5,0.138710851
5,16.5,0.149274093
5,16.5,0.166686443
5,16.5,0.142282674
5,16.5,0.166435862
5,16.5,0.1672834
5,16.5,0.172258015
5,18.48,0.160618319
5,18.48,0.197126668
5,18.48,0.195738302
5,18.48,0.128457903
5,18.48,0.22241734
5,18.48,0.193035708
5,18.48,0.198065019
5,20.44,0.165011281
5,20.44,0.175208638
5,20.44,0.199621191
5,20.44,0.181878576
5,20.44,0.195720176
6,11.72,0.078964976
6,11.72,0.053461542
6,11.72,0.022222024
6,11.72,0.036896808
6,11.72,0.045135795
6,11.72,0.043846104
6,11.72,0.042423188
7,22.51,0.182254471
7,22.51,0.212525614
7,22.51,0.235119464
7,22.51,0.185167233
7,22.51,0.103978534
7,22.51,0.13145445
7,22.51,0.173467659
7,24.98,0.134321026
